Entidade Gestora,Quota de Mercado Global,Quota de Mercado (SCR),Quota de Mercado (FCR),N.. FCR Geridos,Dimensao Media dos FCR (10^6 €)
"Caixa Capital - SCR, SA",0.1739,0.0365,0.2167,4,128.3
"Finpro, SCR, SA",0.1672,0.7043,0,0,n.a.
"ECS - SCR, SA",0.1612,0.0081,0.2089,2,247.5
"Explorer Investments - SCR, SA",0.1431,0.0095,0.1847,3,145.9
"Espirito Santo Ventures - SCR, SA",0.0858,0,0.1126,4,66.7
"Espirito Santo Capital - SCR, SA",0.0602,0.0632,0.0593,3,46.8
"InovCapital - SCR, SA",0.0536,0.0379,0.0585,11,12.6
"AICEP Capital Global - SCR, SA",0.0424,0.0362,0.0443,4,26.3
"Banif Capital - SCR, SA",0.0262,0.0018,0.0337,3,26.7
"TC Turismo Capital - SCR, SA",0.021,0.0074,0.0252,2,29.9
"Inter Risco - SCR, SA",0.0194,0.0333,0.0151,2,17.9
"BPN Gestao de Activos - SGFIM, SA",0.0072,0,0.0095,1,22.4
"Change Partners - SCR, SA",0.0054,0.0034,0.0061,2,7.2
"Agrocapital - SCR, SA",0.0052,0.0012,0.0064,1,15.2
"Banco Efisa, SA",0.0043,0,0.0056,1,13.3
"BCP Capital - SCR, SA",0.01,0.0341,0.0025,1,6
"ISQ - SCR, SA",0.0036,0,0.0047,2,5.5
"FamiGeste - SCR, S.A.",0.0024,0.01,0,0,n.a.
"Caixa Central de Credito Agricola Mutuo, Cr",0.0022,0,0.0029,1,6.9
"Novabase Capital - SCR, SA",0.0023,0.0022,0.0023,1,5.5
"Beta - SCR, SA",0.0015,0.0035,0.0008,1,2
"Drive - SCR, SA",0.0006,0.0026,0,0,n.a.
"BIG Capital - SCR, SA",0.0004,0.0011,0.0002,1,0.5
"2BPARTNER - SCR, SA",0.0002,0.0009,0,0,n.a.
"Naves - SCR, SA",0.0003,0.0015,0,0,n.a.
"Centro Venture - SCR, SA",0.0002,0.0007,0,0,n.a.
"Enotum Capital - SCR, SA",0.0001,0.0004,0,0,n.a.
Total,1,1,1,50,47.4
