Fases de Investimento,N.. Participacoes (1) SCR,Valor SCR,% SCR,N.. Participacoes (1) FCR,Valor FCR,% FCR,N.. Participacoes (1) Total,Valor Total,% Total
Expansao,39,539.9,0.8018713798,190,317.9,0.2973251029,229,857.8,0.4922812052
Capital de substituicao,16,17.8,0.02643695232,42,284.3,0.2658997381,58,302.1,0.1733715925
Start‐Up,61,10.9,0.01618892024,303,158.6,0.1483352039,364,169.5,0.09727403156
Management‐buy‐out,16,17,0.02524877469,53,102,0.09539842873,69,119,0.06829268293
Outros,30,85.2,0.1265409179,10,17.3,0.01618032174,40,102.5,0.05882352941
Management‐buy‐in,,0,0,10,65.2,0.06098017209,10,65.2,0.03741750359
Early‐Stage,11,2,0.002970444081,38,47.8,0.04470632248,49,49.8,0.02857962697
Turnaround,6,0.3,0.0004455666122,28,44.7,0.04180695847,34,45,0.02582496413
Seed Capital,4,0.2,0.0002970444081,25,20.5,0.01917321362,29,20.7,0.0118794835
Refinanciamento da divida bancaria,,0,0,4,10.9,0.01019453797,4,10.9,0.006255380201
Total,183,673.3,1,703,1069.2,1,886,1742.5,1
