,Aquisicoes SCR,Alienacoes SCR,Investimento Liquido SCR,N.. Transaccoes SCR,Aquisicoes FCR,Alienacoes FCR,Investimento Liquido FCR,N.. Transaccoes FCR,Aquisicoes Total,Alienacoes Total,Investimento Liquido Total,N.. Transaccoes Total
Capital de substituicao   ,150,6246.9,-6096.9,4,219231.2,949.4,220180.6,26,219381.2,7196.4,212184.8,30
Early-stage,4.3,6081.7,-6077.4,3,17180.5,647.8,17828.3,16,17184.8,6729.5,10455.3,19
Outros,14745.2,8053.6,6691.6,11,0,0,0,1,14745.2,8053.6,6691.6,12
Refinanciamento da divida bancaria,0,0,0,0,2103.6,0,2103.6,1,2103.6,0,2103.6,1
Management-buy-out,1022,1347.7,-325.7,6,2450.9,139.4,2590.3,9,3472.8,1487.1,1985.7,15
Turnaround,0,642,-642,4,1032,0,1032,3,1032,642,390,7
Management-buy-in,0,0,0,0,12.5,0,12.5,2,12.5,0,12.5,2
Seed Capital,191.4,0,191.4,3,82,279.1,361.1,5,273.4,279.1,-5.7,8
Start-up,235.7,5474,-5238.3,17,11681.8,6541.7,18223.6,70,11917.5,12015.7,-98.2,87
Expansao,0,30968.3,-30968.3,9,54268.2,25335.8,79604,50,54268.2,56304.1,-2035.9,59
Total,16348.6,58814.2,-42465.6,57,308042.7,33893.3,341936,183,324391.3,92707.5,231683.8,240
